Judul,Perusahaan,Lokasi,Gaji,Tanggal,Tipe Pekerjaan,Fungsi Pekerjaan,Jenjang Karir,Pengalaman Minimal,Tingkat Pendidikan,Jurusan Pendidikan,Deskripsi Pekerjaan,Deskripsi Persyaratan,Deskripsi Perusahaan,Gaji Minimum,Gaji Maksimum
SALES GENERALIS,PT Puriasri Bhaktikarya,Jakarta Selatan,Gaji di atas ekspektasi,,Tidak Disebutkan,Penjualan dan Pemasaran,Pemula / Staf,1 tahun,"S1, D3",Semuanya,Mencapai Target yang sudah ditentukan oleh perusahaan,"Pria  Wanita maksimal usia 34 tahun
Pendidikan minimal D3
Diutamakan berpengalaman dibidangnya freshgraduated dipersilahkan melamar
Sudah vaksin Booster
Mampu bekerjasama dengan Team maupun individu
Mencapai target yang telah ditentukan
Memiliki kendaraan bermotor dan SIM C",PT Puriasri Bhaktikarya atau disingkat PT PaBk adalah perusahaan swasta nasional yang didirikan padatahun 1992 merupakan kelompok usaha Yayasan Kesejahteraan Pensiunan Bank Exim dengan kegiatan usaha di Bisnis Alih Daya Training dan Consulting,,
Web Programmer,PT Suhartono Tjokro Grup,Surabaya,Gaji di atas ekspektasi,,Tidak Disebutkan,"Teknik, Komputer",Pemula / Staf,1 tahun,S1,Teknik Informatika,Membuat dan maintain aplikasi sesuai tugas yg diberikan," Menguasai bahasa pemrograman PHP Node js database PostgreSQL
 Menguasai modern frontend HTML5 Javascript Angular js React js Vue js dll
 Memahami penggunaan Rest API
 Memahami penggunaan version control Git
 Memahami DevOps practice menjadi nilai tambah
 Berpengalaman dalam pengembangan software kesehatan dan pendidikan lebih diutamakan",PT Suhartono Tjokro Group adalah Perusahaan yang berkembang pesat dengan unit bisnis kami bergerak dalam bidang Perdagangan  Jasa Unit bisnis Suhartono Tjokro Group adalah PT Husada Wiyata Mulya PT Medico Berkat Abadi PT Dhanapura Kadiri PT Karya Indah Makmur sejahtera dan PT Sigma Intan MahakaryaPerusahaan kami bermula dari Founder Bapak Bambang Suhartono mendirikan Sukro Grup dengan anak perusahaan yang pertama pada 17 Juli 2014 yakni PT Husada Wiyata Mulya yang bergerak dalam bidang Layanan Kesehatan Lalu Pada satu bulan Kemudian mendirikan PT Medico Berkat Abadi tepatnya pada tanggla 22 Agustus 2014Pada Tahun 2015 Kami juga mengembangkan usaha dalam bidang Pengolahan garam dengan membentuk PT Karya Indah Makmur Sejahtera PT KIMS dan Pada Tahun 2016 Kami mendirikan PT Dhanapura Kadiri Properti kemudian disusul dengan mendirikan PT Sigma Intan Mahakarya yang bergerak dalam bidang Media  teknologi,,
Product Marketing Specialist,PT Suhartono Tjokro Grup,Surabaya,Gaji di atas ekspektasi,,Tidak Disebutkan,Penjualan dan Pemasaran,"Pemula / Staf, Staf Senior",2 tahun,"S1, D3",Pemasaran,Membuat laporan dan evaluasi strategi pemasaran yang sudah di arahkan pimpinan,"Komunikatif kreatif dan inovatif
Menguasai trending marketing di dalam marketplace dan media sosial
Memiliki kemampuan analisa pasar dan kompetitor produk
Bersedia terjun ke lapangan langsung untuk melakukan kerjasama dengan klien atau partner",PT Suhartono Tjokro Group adalah Perusahaan yang berkembang pesat dengan unit bisnis kami bergerak dalam bidang Perdagangan  Jasa Unit bisnis Suhartono Tjokro Group adalah PT Husada Wiyata Mulya PT Medico Berkat Abadi PT Dhanapura Kadiri PT Karya Indah Makmur sejahtera dan PT Sigma Intan MahakaryaPerusahaan kami bermula dari Founder Bapak Bambang Suhartono mendirikan Sukro Grup dengan anak perusahaan yang pertama pada 17 Juli 2014 yakni PT Husada Wiyata Mulya yang bergerak dalam bidang Layanan Kesehatan Lalu Pada satu bulan Kemudian mendirikan PT Medico Berkat Abadi tepatnya pada tanggla 22 Agustus 2014Pada Tahun 2015 Kami juga mengembangkan usaha dalam bidang Pengolahan garam dengan membentuk PT Karya Indah Makmur Sejahtera PT KIMS dan Pada Tahun 2016 Kami mendirikan PT Dhanapura Kadiri Properti kemudian disusul dengan mendirikan PT Sigma Intan Mahakarya yang bergerak dalam bidang Media  teknologi,,
Customer Service Agent,PT Industri Kolaborasi Primer,Prov. Bali,Rp 5 juta - Rp 7 juta/bulan,,Tidak Disebutkan,Telemarketing,Staf Senior,1 tahun,S1,Manajemen Komunikasi,"Customer Service Chatroom
Job descriptions  
      Make outbound calls or send messages to clients based on distribution build up solid and excellent relationship 
      Proficiently grasp relevant job knowledge promptly and accurately handle customer demands and quickly and efficiently resolve user issues within specified time frames to enhance customer retention and satisfaction 
      Assist development engineers in resolving customer problems and provide realtime technical support for firstline troubleshooting 
      Proactively identify summarize and verify potential issues through clients feedback pass on the problems to relevant departments for followup or propose effective suggestions to assist in business optimization 
      Handle occasional tasks assigned by supervisors
  Requirements 
      Required languages English and Bahasa Indonesia Spoken and written
      Excellent telephone skills and communication skills 
      Able to work with a rotational shift schedule 
      Accept shortterm business trips
  Benefits
Opportunities for career growth and advancement within the company 
Performancebased bonuses to reward your dedication and exceptional service 
Afternoon and night shift bonus
5 working days in a week
      Customer Service Zendesk  Livechat
Job Descriptions 
Respond to customer inquiries via live chat promptly and professionally 
Provide accurate information about our product addressing customer concerns questions and feedback 
Maintain a high level of product knowledge to offer personalized solutions and recommendations 
Collaborate with internal teams to resolve complex issues and provide effective solutions 
Effectively escalate and report customer issues to concerned teams or supervisors when necessary ensuring timely resolution 
Identify processing improvements to enhance overall customer satisfaction 
 
Requirements 
Fresh graduates are welcome to apply 
Fluent in English
Excellent communication skills both written and verbal 
Empathetic and patient when dealing with challenging customer interactions 
Strong problemsolving and multitasking abilities 
Accept rotating shifts flexibility to work on nontraditional hours including evenings weekends and holidays 
Skills in helpdesk tools and CRM software are preferred 
 
Benefits 
Opportunities for career growth and advancement within the company 
Performancebased incentives and bonuses to reward your dedication and exceptional service 
Afternoon and night shift bonus
5 working days in a week","Customer Service Chatroom
Job descriptions  
      Make outbound calls or send messages to clients based on distribution build up solid and excellent relationship 
      Proficiently grasp relevant job knowledge promptly and accurately handle customer demands and quickly and efficiently resolve user issues within specified time frames to enhance customer retention and satisfaction 
      Assist development engineers in resolving customer problems and provide realtime technical support for firstline troubleshooting 
      Proactively identify summarize and verify potential issues through clients feedback pass on the problems to relevant departments for followup or propose effective suggestions to assist in business optimization 
      Handle occasional tasks assigned by supervisors
  Requirements 
        Required languages English and Bahasa Indonesia Spoken and written
      Excellent telephone skills and communication skills 
      Able to work with a rotational shift schedule 
      Accept shortterm business trips
  Benefits
Opportunities for career growth and advancement within the company 
Performancebased bonuses to reward your dedication and exceptional service 
Afternoon and night shift bonus
5 working days in a week
      Customer Service Zendesk  Livechat
Job Descriptions 
Respond to customer inquiries via live chat promptly and professionally 
Provide accurate information about our product addressing customer concerns questions and feedback 
Maintain a high level of product knowledge to offer personalized solutions and recommendations 
Collaborate with internal teams to resolve complex issues and provide effective solutions 
Effectively escalate and report customer issues to concerned teams or supervisors when necessary ensuring timely resolution 
Identify processing improvements to enhance overall customer satisfaction 
 
Requirements 
Fresh graduates are welcome to apply 
Fluent in English
Excellent communication skills both written and verbal 
Empathetic and patient when dealing with challenging customer interactions 
Strong problemsolving and multitasking abilities 
Accept rotating shifts flexibility to work on nontraditional hours including evenings weekends and holidays 
Skills in helpdesk tools and CRM software are preferred 
 
Benefits 
Opportunities for career growth and advancement within the company 
Performancebased incentives and bonuses to reward your dedication and exceptional service 
Afternoon and night shift bonus
5 working days in a week",PT Industri Kolaborasi Primer adalah perusahaan outsourcing SDM profesional yang didirikan pada Oktober 2023 fokus pada solusi SDM untuk posisi penjualan layanan pelanggan dan posisi lainnya Kami berkomitmen untuk menyediakan dukungan talenta yang efisien dan fleksibel bagi berbagai perusahaan membantu klien mengoptimalkan biaya tenaga kerja dan meningkatkan efisiensi operasional bisnis,5000000.0,7000000.0
Bootcamp/Pelatihan IT SQA RPA Automation Batch 22,PT Danamas Insan Kreasi Andalan (DIKA),Jakarta Pusat,"Rp 5 juta - Rp 6,5 juta/bulan",,Tidak Disebutkan,"TI, Web Developer, TI, Network Engineer, TI, Systems Analyst, TI, Webmaster, Teknik, Lainnya, Teknik, Telekomunikasi, Jurnalisme Teknik, TI, Systems Engineer, TI, Programmer, TI, Administrator, Teknik, Perangkat Lunak, Teknik, Jaringan, Teknik, Mesin, Teknik, Perangkat Keras, Teknik, Umum, Teknik, Elektro , Teknik, Komputer, Teknik, Sipil, Teknik, Kimia, DevOps Engineer, Teknik, Keselamatan","Pemula / Staf, Staf Senior",-,D3,"Teknik Dirgantara/Penerbangan, Ilmu Komputer, Pendidikan Ilmu Komputer, Desain Komunikasi Visual, Pemasaran digital, Teknik Listrik, Teknik Penerbangan, Teknik Pertanian, Teknik Biomedis, Teknik Kimia, Teknik Sipil, Teknik Komputer, Teknik Ekologi/Lingkungan, Teknik Elektro, Teknik Geodesi, Teknik Industri, Teknik Instrumentasi, Teknik Material dan Metalurgi, Teknik Mesin, Teknik Pertambangan, Teknik Nuklir, Teknik Lainnya, Teknik Telekomunikasi, Teknik Geologi, Manajemen Informatika, Sistem Informasi, Teknologi Informasi, Teknik Informatika","Saat ini kami sedang open recruitment untuk peserta BootcampPelatihan IT
Kelas  SQARPA Batch 22
Dan kita juga sedang ada program DISCOUNT 50 LOH dimulai dari 500k
Kelasnya juga mengikuti secara online melalui aplikasi Zoom jadi sangat fleksibel bagi pesertakandidat yang sudah bekerja atau sedang mengerjakan project secara lansgung
Kitapun memiliki program Belajar dulu Bayar nanti bila sudah bekerja
Lalu apasih pengertian dari Belajar dulu Bayar nanti bila sudah bekerja
Jadi total biaya training akan dicicil selama peserta sudah disalurkan pekerjaan ataupun mendapatkan pekerjaan
Mungkin aku mau sedikit menjelaskan nih tentang Bootcamp kita dari Juara Coding
Jadi modul training ini dibuat dan ditujukan bagi para FRESHGRADUATE atau pencari kerja yang ingin memulai kariernya menjadi Programmer Backend Developer training ini dirancang agar para berfokus membentuk kandidatpeserta yang nanti nya bisa membentuk dan mengembangkan aplikasi dan website yang nanti nya di gunakan sesuai permintaan dari perusahaan klien Pelatihan ini mengembangkan kompetisi kerja di Bidang Backend
Dan apa aja keuntungan yang akan didapatkan setelah mengikuti Bootcamp Juara Coding
 Fasilitas cicilan melalui program ISA Income Sharing Agreement
 Kesempatan interview di perusahaan bagi semua peserta dan disalurkan kerja","1 Pria  Wanita
2 Maksimal Usia 30 tahun
3 Pendidikan min D3S1 Semua jurusan  masih aktif dalam akademik kuliah
4 Memiliki laptop  komputer
5 Siap kerja setelah Bootcamp selesai",PT Danamas Insan Kreasi Andalan atau DIKA merupakan anak perusahaan dan Dana Pensiun Karyawan BCA yang didirikan di Jakarta pada tanggal 2 Mei 2012 dengan fokus di bisnis outsourcing Misi utama DIKA adalah mengembangkan sumber daya manusia dalam mencapai performa terbaik dan memberikan solusi terpadu untuk Mien dalam mencapal tujuan perusahaan Vlsi DIKA adalah menjadi mitra bisnis yang andal dan terpecaya yang dapat membantu kiien dalam mengembangkan bisnisnya Kekuatan DIKA terletak pada managemen yang sudah berpengalaman dan profesional di bidang Industri keuangan dan jasa Dengan pengalaman yang luas dan performa yang terbukti balk selama bertahuntahun DIKA adalah MITRA BIS NIS yang andal bagi kiien,5000000.0,6500000.0
Credit Marketing Officer,PT Danamas Insan Kreasi Andalan (DIKA),Denpasar,"Rp 3,5 juta - Rp 4,5 juta/bulan",,Tidak Disebutkan,"Penjualan dan Pemasaran, Penjualan (Non-Teknis), Penjualan (Teknis)","Pemula / Staf, Staf Senior",1 tahun,"S2, S1, D3, SMA",Semuanya," Bertanggung jawab atas pencapaian target Direct Sales kepada Business Partner
 Memberikan informasi kepada konsumen mengenai produk perusahaan
 Memastikan proses repaymentcollection tidak melebihi duedate yang telah ditentukan
 Bertanggung jawab dan berkoordinasi dengan stakeholder terkait atas proses administrasi yang dibutuhkan","Bersedia bekerja secara mobile
Memiliki kendaraan pribadi
Pendidikan minimal SMASMK
Memiliki pengalaman sebagai SalesCredit Marketing OfficerAccount Officer",PT Danamas Insan Kreasi Andalan atau DIKA merupakan anak perusahaan dan Dana Pensiun Karyawan BCA yang didirikan di Jakarta pada tanggal 2 Mei 2012 dengan fokus di bisnis outsourcing Misi utama DIKA adalah mengembangkan sumber daya manusia dalam mencapai performa terbaik dan memberikan solusi terpadu untuk Mien dalam mencapal tujuan perusahaan Vlsi DIKA adalah menjadi mitra bisnis yang andal dan terpecaya yang dapat membantu kiien dalam mengembangkan bisnisnya Kekuatan DIKA terletak pada managemen yang sudah berpengalaman dan profesional di bidang Industri keuangan dan jasa Dengan pengalaman yang luas dan performa yang terbukti balk selama bertahuntahun DIKA adalah MITRA BIS NIS yang andal bagi kiien,3500000.0,4500000.0
Sales Mikro Perbankan,PT Puriasri Bhaktikarya,Prov. DKI-Jakarta,"Rp 5,3 juta - Rp 10,7 juta/bulan",,Tidak Disebutkan,"Penjualan dan Pemasaran, Kredit / Pinjaman",Pemula / Staf,-,"S1, D3",Pemasaran,"Mencari calon nasabah
Menawarkan produk pembiayaan usaha mikro
Memantau kewajiban nasabah
Melakukan penagihan
Membangun hubungan baik dengan nasabah
Mencari dan menganalisa potensi pasar baru
Memberikan konsultasi mengenai produk keuangan
Memberikan simulasi hitungan yang harus dikeluarkan dan menjelaskan manfaat kepada konsumen","Kualifikasi
 Minimal D3 IPK 250400
 Usia 2135 tahun
 Pengalaman di bidang marketing mikro funding perbankanasuransi lebih diutamakan
 Memiliki SIM C  kendaraan roda dua",PT Puriasri Bhaktikarya atau disingkat PT PaBk adalah perusahaan swasta nasional yang didirikan padatahun 1992 merupakan kelompok usaha Yayasan Kesejahteraan Pensiunan Bank Exim dengan kegiatan usaha di Bisnis Alih Daya Training dan Consulting,5300000.0,10700000.0
Social Media Leader,PT Asia Garments Accesories,Jakarta Barat,Rp 5 juta - Rp 6 juta/bulan,,Tidak Disebutkan,"Kreatif / Desain, Komunikasi",Supervisor,3 tahun,"S1, D3","Desain Komunikasi Visual, Ilmu Komunikasi, Lainnya","mengembangkan content plan dalam media sosial yang sesuai dan konsisten dengan identitas brand
menciptakan konten yang memiliki value dan konsisten di semua platform media sosial
mengelola post media sosial dengan volume tinggi
berkomunikasi dengan para followers di media sosial
mengembangkan dan mengatur program dengan para influencer dan juga datang ke eventevent
menggunakan software editing seperti adobe premier lightroom photoshop dan software editing lainnya
mempersiapkan laporan perkembangan media sosial setiap brand atau perusahaan
memberikan rekomendasi dan saran untuk strategi social media marketing
selalu update dengan perkembangan tren media sosial
memberikan arahan kepada tim desainn atas visual konten yang sudah direncanakan","Pendidikan minSMASMUSetaranya sarjana lebih diutamakan 
Usia max35tahun sehat Jasmani  rohani
Berdomisili wilayah Jakarta dan Jabodetabek
Mahir dalam penggunaan semua social media dan bisa paham alogaritma semua social media
Memiliki pemahaman  kemampuan baik serta benar dalam membuat Engagement  Content 
Bisa menyelesaikan target perusahaan secara jangka pendek dan panjang
Adaptasi dengan baik terhadap target market perusahaan di social media
Bisa menganalisa problem  menjadi problem solver dari social media yang ditanggung jawabkan
Mampu memanage tim social media dengan baik dan productive
Bekerja sama tim dengan baik dan Kemampuan koodinasi internal baik",PT Asia Garments Accessories legalized officially as a registered company at January 2011 from the previous state of CV Asia Garment had been in the garments accessories industry since 1992 With products varied from laces buttons hot fix cloth application etc It was an honourable achievement and significant growth for us to be trusted as a reliable partner for companies throughout Indonesia Therefore we strive to bring a better to best services by keep improving and growing each commitment in terms of products and services as well Office hours  Sabtu 0800  1500 wib,5000000.0,6000000.0
Staf Umum,PT Handal Guna Sarana,Prov. DKI-Jakarta,Gaji di atas ekspektasi,,Tidak Disebutkan,"Operasi Gudang, Logistik","Pemula / Staf, Staf Senior",-,Apa Saja,Semuanya,"o Membersihkan seluruh lingkunganruangan Kantor
o Membersihkan peralatan kerja
o Membuang sampah dan memastikan kantor bersih
o Membantu Pick up Dokumen atau Barang apabila diperlukan
o Melakukan pemantauan secara berkala jalannya fungsi komponen listrik yang terdapat pada perusahaan
o Merencanakan pemasangan komponen listrik yang dibutuhkan perusahaan
o Menghitung jumlah biaya dan juga material yang akan digunakan untuk pemeliharaan perbaikan ataupun pemasangan komponen listrik ataupun aset perusahaan lainnya
o Melakukan perbaikan pada komponen listrik yang mengalami kerusakan
o Melakukan koordinasi bersama tim untuk melakukan pemeliharaan terhadap sistem listrik pada perusahaan
o Mengatasi gangguan ataupun masalah yang terjadi pada sistem listrik
o Melakukan pemeliharaan pada sistem listrik untuk mendukung jalannya operasional perusahaan secara lebih maksimal
o Membuat laporan kerja secara rutin sesuai dengan aturan yang sudah ditentukan","o Pria usia maksimal 35 tahun
o Mampu bekerja dalam tim maupun sendiri
o Pendidikan minimal SMASMK
o Memiliki inisiatif yang tinggi
o Memiliki kemampuan kelistrikan perbaikan ataupun instalasi komponen listrik nilai plus
o Bisa mengendarai Motor  memiliki SIM C
o Bisa mengendarai Mobil  memiliki SIM A nilai plus
o Bersedia Ditempatkan di Jakarta Bogor Subang Bandung",PT Handal Guna Sarana is one of Tirta Groups companies established in 2012 which is engaged in logistics services Currently our service focus is land transportation both raw material delivery primary delivery secondary distribution and warehousing Companies that work with us include Danone Aqua Bukalapak Heinz Kraft Japfa Nutricia Agriaku and many more We run 20 branches As the business continues to grow we realize that our success is primarily supported by individuals who have the drive and high enthusiasm to be part of the big family of PT Handal Guna Sarana We invite all those who are young active dynamic creative innovative skillful and who want to grow and make continuous improvements to join with us,,
SALES EKSEKUTIF PABRIK (PRINCIPAL),PT Era Mulya Citra Warna,Bogor,Gaji di atas ekspektasi,,Tidak Disebutkan,"Penjualan dan Pemasaran, Penjualan (Teknis)","Pemula / Staf, Staf Senior",1 tahun,Apa Saja,Semuanya,"1 Melakukan penjualan produkproduk
2 Melakukan penagihan terhadap tokotoko
3 Membuka outletoutlet baru NOO
4 Melakukan spreading produk","1 Pria usia maksimal 40 tahun
2 Pendidikan minimal SMASMK atau sederajat
3 Memiliki pengalaman minimal 1 tahun dibidangnya
4 Memiliki kendaraan sendiri dan memiliki SIM C
5 Memiliki kemampuan komunikasi negosiasi dan persentasi yang baik
6 Jujur disiplin komunikatif
7 Mampu bekerja dalam team mampu bekerja dalam tekanan mampu bekerja dengan target target oriented
8 Diutamakan berpengalaman di perusahaan building materials atau consumer goods
9 Menguasai wilayah Jabodetabek terutama Tangerang Raya Jakarta Barat",PT ERA MULYA CITRA WARNA berawal dari perusahaan home industry dengan badan usaha CV Era Usaha Jaya yang didirikan pada saat krisis ekonomi melanda belahan Asia termasuk Neegara Indonesia yaitu tepatnya pada tanggal 12 September 1998 oleh Bpk HM Yamin Usaha Perusahaan bermula bergerak dibidang supplier peralatan bangunan seperti pipa pvc dan asesorinya termasuk asesori keperluan bangunan lainnya Seiring dengan perkembangan perusahaan Bpk HM Yamin mulai melakukan diversifikasi usaha dengan menjadi supplier cat Hal ini terinspirasi karena menjelang hari raya biasa konsumen ingin memperindah rumahnya sehingga permintaan pasar akan cat menjadi meningkat Dan pada tanggal 17 Juni 2000 CV ERA USAHA JAYA mulai memproduksi cat tembok sendiri dengan merk KATALUX Sejalan dengan perkembangan pemasaran cat tersebut maka tahun 2002 perusahaan akhirnya dapat membangun pabrik dan gudang diatas tanah seluas 5000 m2 Setelah melakukan survey dan riset pasar makan pada tahun 2003 perusahaan sudah dapat memproduksi cat jenis solvent base untuk di aplikasi pada besi dan kayu Melihat usahanya cukup memiliki berpotensi yang baik maka Pimpinan perusahaan merasa perlu melakukan perluasan tempat produksi dengan mempertimbangkan produksi cat berbahan dasar air dan minyak secara terpisah Maka pada tahun 2004 perusahaan sudah mulai membangun tempat produksi secra terpisah di atas tanah seluas 10000 m2 Demi meningkatkan perkembangan perusahaan maka pada tahun 2011 perusahaan melakukan penambahan inventasi permodaln dan pengukuhan kepemilikan perusahaan dari CV menjadi PERSEROAN TERBATAS dengan nama PT ERA MULYA CITRA WARNA Hingga saat ini perusahaan sudah menghasilkan produk cat berbahan dasar air yaitu cat tembok cat genteng plamur cat pelapis anti bocor cat water profing cat dasar alkali resistant sealer dan produk cat berbahan dasar minyak yaitu cat kayu dan besi cat besi tempa varnish dan pengencer cat Sedangkan merk dagang dari hasil produksi perusahaan saat ini yang sudah mendapatkan pengukuhan secara hukum dari kementrian perdagangan dan hukum yaitu KATALUX JAPENTEX ERA PAINT dan PUTTYLAC Sampai dengan akhir tahun 2013 perusahaan sudah memiliki sebanyak 26 kantor cabang pemasaran di pulau jawa 2 agen di Purwokerto dan Jember dan 1 Distributor untuk propinsi Lampung dan Bengkulu Seiring dengan Visi dan Misi Perusahaan saat ini perusahaan terus melakukan perkembangan pemasaran ke luar pulau sampai nantinya sampai ke seluruh pelosok tanah air dengan membangun konsep bisnis keagenan dan distributor Demi meningkatkan pelayanan kepuasan pelanggan dan konsumen akhir perusahaan tetap konsisten menjaga kualitas produk yang sudah dihasilkan dari waktu ke waktu dan terus melakukan inovasi baik secara teknologi yang dipergunakan maupun produkproduk yang dihasilkan Jam  Hari Kerja  Senin  Jumat  08301700  Sabtu  08301430,,
DRIVER DIREKSI,PT Era Mulya Citra Warna,Bogor,"Rp 4 juta - Rp 4,5 juta/bulan",,Tidak Disebutkan,Supir,Pemula / Staf,3 tahun,Apa Saja,Semuanya,"1 Mengantar  jemput pimpinan atau keluarga
2 Menjaga dan merawat kondisi kendaraan selalu dalam keadaan prima
3 Melakukan tugas pengiriman jika dibutuhkan","1 Pria usia minimal 40 tahun
2 Pendidikan minimal SLTA
3 Berpengalaman sebagai Driver Pribadi
4 Menguasai mobil manual dan matic
5 Jujur sopan dapat memegang rahasia
6 Berbadan sehat dan berkelakuan baik
7 Mampu menjaga dan merawat kondisi kendaraan selalu dalam keadaan prima
8 Menguasai area Jabodetabek
9 Siap bekerja ke luar kota
10 Memiliki SIM A dan SIM C",PT ERA MULYA CITRA WARNA berawal dari perusahaan home industry dengan badan usaha CV Era Usaha Jaya yang didirikan pada saat krisis ekonomi melanda belahan Asia termasuk Neegara Indonesia yaitu tepatnya pada tanggal 12 September 1998 oleh Bpk HM Yamin Usaha Perusahaan bermula bergerak dibidang supplier peralatan bangunan seperti pipa pvc dan asesorinya termasuk asesori keperluan bangunan lainnya Seiring dengan perkembangan perusahaan Bpk HM Yamin mulai melakukan diversifikasi usaha dengan menjadi supplier cat Hal ini terinspirasi karena menjelang hari raya biasa konsumen ingin memperindah rumahnya sehingga permintaan pasar akan cat menjadi meningkat Dan pada tanggal 17 Juni 2000 CV ERA USAHA JAYA mulai memproduksi cat tembok sendiri dengan merk KATALUX Sejalan dengan perkembangan pemasaran cat tersebut maka tahun 2002 perusahaan akhirnya dapat membangun pabrik dan gudang diatas tanah seluas 5000 m2 Setelah melakukan survey dan riset pasar makan pada tahun 2003 perusahaan sudah dapat memproduksi cat jenis solvent base untuk di aplikasi pada besi dan kayu Melihat usahanya cukup memiliki berpotensi yang baik maka Pimpinan perusahaan merasa perlu melakukan perluasan tempat produksi dengan mempertimbangkan produksi cat berbahan dasar air dan minyak secara terpisah Maka pada tahun 2004 perusahaan sudah mulai membangun tempat produksi secra terpisah di atas tanah seluas 10000 m2 Demi meningkatkan perkembangan perusahaan maka pada tahun 2011 perusahaan melakukan penambahan inventasi permodaln dan pengukuhan kepemilikan perusahaan dari CV menjadi PERSEROAN TERBATAS dengan nama PT ERA MULYA CITRA WARNA Hingga saat ini perusahaan sudah menghasilkan produk cat berbahan dasar air yaitu cat tembok cat genteng plamur cat pelapis anti bocor cat water profing cat dasar alkali resistant sealer dan produk cat berbahan dasar minyak yaitu cat kayu dan besi cat besi tempa varnish dan pengencer cat Sedangkan merk dagang dari hasil produksi perusahaan saat ini yang sudah mendapatkan pengukuhan secara hukum dari kementrian perdagangan dan hukum yaitu KATALUX JAPENTEX ERA PAINT dan PUTTYLAC Sampai dengan akhir tahun 2013 perusahaan sudah memiliki sebanyak 26 kantor cabang pemasaran di pulau jawa 2 agen di Purwokerto dan Jember dan 1 Distributor untuk propinsi Lampung dan Bengkulu Seiring dengan Visi dan Misi Perusahaan saat ini perusahaan terus melakukan perkembangan pemasaran ke luar pulau sampai nantinya sampai ke seluruh pelosok tanah air dengan membangun konsep bisnis keagenan dan distributor Demi meningkatkan pelayanan kepuasan pelanggan dan konsumen akhir perusahaan tetap konsisten menjaga kualitas produk yang sudah dihasilkan dari waktu ke waktu dan terus melakukan inovasi baik secara teknologi yang dipergunakan maupun produkproduk yang dihasilkan Jam  Hari Kerja  Senin  Jumat  08301700  Sabtu  08301430,4000000.0,4500000.0
PENGAWAS PROYEK/LAPANGAN,PT Adhiusaha Kencana Lestari,Surabaya,Gaji di atas ekspektasi,,Tidak Disebutkan,"Teknik, Sipil",Staf Senior,1 tahun,"S1, D3",Teknik Sipil,"Melakukan pengawasan terhadap kinerja tukangmandor
memastikan ketersediaan material di lapangan
Monitoring progresshasil kerja di lapangan
Koordinasi dengan admin  koordinator proyek
Membuat Berita Acara Pekerjaan","Pria max 30 tahun
Pendidikan D3S1 diutamakan dari Teknik Sipil
Lancar komunikasi
Teliti lancar berhitung
Paham gambar
Bisa bekerjasama dengan team
Rajin Jujur  bertanggungjawab
Penempatan Surabaya",PT Adhiusaha Kencana Lestari Supplier Aluminium Profil YKK APP  Specialist Aluminium Finished Goods Luxurious Residental Slidding Door Show Room Bathroom Door Garage Door Premium Window and Folding Door,,
Security,PT Mitra Langgeng Sejati,Jakarta Selatan,Gaji di atas ekspektasi,,Tidak Disebutkan,Satuan Pengamanan,Pemula / Staf,1 tahun,SMA,Semuanya,"Mengawasi dan memastikan SOP keamanan berjalan sesuai dengan prosedur yang berlaku
Mengontrol area dan rutinitas pengecekan keamanan sesuai dengan lingkup pekerjaan
Memastikan greeting 5S Senyum salam sapa sopan dan santun berjalan konsisten
Melakukan pengecekan jadwal operasional akses dan lobby sesuai dengan yang telah ditentukan
Mengontrol dan Memastikan Checklist Aset berjalan konsisten
Membuat Laporan","Pendidikan minimal SMA Sederajat
Pengalaman di bidang keamanan min 1 tahun belum berpengalaman namun tertarik bekerja di bidang keamanan",PT Mitra Langgeng Sejati Mitra Indonesia terbentuk pada tahun 2000 dan sejak itu terus mengembangkan kualitasnya Mitra Indonesia merupakan One Stop Human Capital Management Consultant yang hadir untuk memahami dan memberikan solusi yang akurat dengan kebutuhan setiap perusahaan dalam mengelola dan menggerakkan organisasi dan sumber daya manusianya yang mengandalkan prinsipprinsip Human Capital Management secara efektif dan efisien menuju sasaran perusahaan Berbagai alternatif solusi disediakan oleh Mitra Indonesia untuk membantu perusahaan meningkatkan kinerja organisasinya Melalui layananlayanan solusi bisnis Placement Penempatan Outsourcing Management Manajemen Alih Daya Customized Soft Skills Training Pelatihan dan Business Management Consultancy Konsultasi Manajemen Mitra Indonesia siap memberikan result yang terbaik Sudah menjadi komitmen Mitra Indonesia untuk selalu memberikan hasil kerja yang optimal dan secara rutin meningkatkannya karena Mitra Indonesia senantiasa menjaga kepercayaan yang telah diberikan oleh Klien,,
Accounting Staff Junior,PT Onitsuka Management Consulting,Prov. DKI-Jakarta,"Rp 3,8 juta - Rp 5 juta/bulan",,Tidak Disebutkan,Tidak disebutkan,Pemula / Staf,-,S1,Akuntansi,"Preparing journal entries
Collecting vouchers documents and other supporting documents
Contact with clients to complete all information for preparing journal entries
Assist senior staff for preparing supporting documents if any CPA audit
Report all the jobs to the senior staff","Lulus S1 atau D3 Akuntansi sudah wisuda akan ditest tertulis
Belum menikah umur maksimal 24 tahun Perempuan  Laki  Laki
Berpenampilan rapi dan baik
Mengenal Microsoft  Office dengan baik
Sehat Jasmani dan Rohani",Since its establishment in 2001 Onitsuka Management Consulting staring at the economic development of Indonesia supports many Japanese companies success by consulting accounting and tax,3800000.0,5000000.0
